commit	val_bpb	memory_gb	status	description
baseline-a1b2c3d	1.189370	1.9	keep	Baseline training - scaled for RTX 4070 Super
iter-1	1.190409	1.9	discard	Changed UNEMBEDDING_LR from 0.004 to 0.003
iter-2	1.188540	1.9	keep	Changed MATRIX_LR from 0.04 to 0.03
iter-3	1.188754	1.9	discard	Changed SCALAR_LR from 0.5 to 0.65
iter-4	1.225809	1.9	discard	Changed WEIGHT_DECAY from 0.2 to 0.26
iter-1	1.290728	1.9	discard	Changed UNEMBEDDING_LR from 0.004 to 0.0052
iter-5	1.289279	1.9	discard	Changed WARMUP_RATIO from 0.0 to 0.0
iter-2	1.290804	1.9	discard	Changed MATRIX_LR from 0.04 to 0.052
iter-6	1.291574	1.9	discard	Changed WARMDOWN_RATIO from 0.5 to 0.375
iter-3	1.290072	1.9	discard	Changed SCALAR_LR from 0.5 to 0.65
iter-7	1.291530	1.9	discard	Changed EMBEDDING_LR from 0.6 to 0.78
iter-4	1.292512	1.9	discard	Changed WEIGHT_DECAY from 0.2 to 0.26
iter-8	1.291073	1.9	discard	Changed UNEMBEDDING_LR from 0.004 to 0.003
iter-5	1.291001	1.9	discard	Changed WARMUP_RATIO from 0.0 to 0.0
iter-9	1.292226	1.9	discard	Changed MATRIX_LR from 0.03 to 0.0225
iter-6	1.290226	1.9	discard	Changed WARMDOWN_RATIO from 0.5 to 0.65
iter-10	1.291570	1.9	discard	Changed SCALAR_LR from 0.5 to 0.65
iter-7	1.215134	1.9	discard	Changed EMBEDDING_LR from 0.6 to 0.45
iter-8	1.190841	1.9	discard	Changed UNEMBEDDING_LR from 0.004 to 0.0052
iter-9	1.193210	1.9	discard	Changed MATRIX_LR from 0.04 to 0.052
iter-10	1.189921	1.9	discard	Changed SCALAR_LR from 0.5 to 0.65
r1-agent-1-i1	1.190027	1.9	discard	agent-1 changed WARMUP_RATIO: 0.0 -> 0.0
r1-agent-2-i1	1.189113	1.9	keep	agent-2 changed MATRIX_LR: 0.04 -> 0.037118
r1-agent-3-i1	1.189925	1.9	discard	agent-3 changed UNEMBEDDING_LR: 0.004 -> 0.002545
r2-agent-1-i2	1.191835	1.9	discard	agent-1 changed SCALAR_LR: 0.5 -> 0.211992
r2-agent-2-i2	1.188497	1.9	keep	agent-2 changed EMBEDDING_LR: 0.6 -> 0.523392
r2-agent-3-i2	1.190089	1.9	discard	agent-3 changed UNEMBEDDING_LR: 0.004 -> 0.00259
r3-agent-1-i3	1.189515	1.9	discard	agent-1 changed EMBEDDING_LR: 0.6 -> 0.351117
r3-agent-2-i3	1.189319	1.9	discard	agent-2 changed WARMUP_RATIO: 0.0 -> 0.0
r3-agent-3-i3	1.188301	1.9	keep	agent-3 changed SCALAR_LR: 0.5 -> 0.691154
r4-agent-1-i4	1.189684	1.9	discard	agent-1 changed SCALAR_LR: 0.5 -> 1.201212
r4-agent-2-i4	1.189755	1.9	discard	agent-2 changed SCALAR_LR: 0.5 -> 0.605218
r4-agent-3-i4	1.188986	1.9	discard	agent-3 changed WARMUP_RATIO: 0.0 -> 0.0
r5-agent-1-i5	1.186871	1.9	keep	agent-1 changed EMBEDDING_LR: 0.6 -> 1.182418
r5-agent-2-i5	1.187073	1.9	keep	agent-2 changed SCALAR_LR: 0.5 -> 0.457347
r5-agent-3-i5	1.194004	1.9	discard	agent-3 changed MATRIX_LR: 0.04 -> 0.058803
r6-agent-1-i6	1.186105	1.9	keep	agent-1 changed WARMDOWN_RATIO: 0.5 -> 0.8
r6-agent-2-i6	1.186501	1.9	keep	agent-2 changed WARMUP_RATIO: 0.0 -> 0.0
r6-agent-3-i6	1.188559	1.9	discard	agent-3 changed EMBEDDING_LR: 0.6 -> 0.866968
r7-agent-1-i7	1.187994	1.9	discard	agent-1 changed WARMDOWN_RATIO: 0.8 -> 0.455563
r7-agent-2-i7	1.188887	1.9	discard	agent-2 changed SCALAR_LR: 0.457347 -> 0.542568
r7-agent-3-i7	1.189597	1.9	discard	agent-3 changed UNEMBEDDING_LR: 0.004 -> 0.002444
r8-agent-1-i8	1.190349	1.9	discard	agent-1 changed SCALAR_LR: 0.5 -> 0.206563
r8-agent-2-i8	1.190107	1.9	discard	agent-2 changed SCALAR_LR: 0.457347 -> 0.505573
